,curbweight,cylindernumber,enginesize,horsepower,citympg,highwaympg,price
0,2548,4,130,111,21,27,13495.0
1,2548,4,130,111,21,27,16500.0
2,2823,6,152,154,19,26,16500.0
3,2337,4,109,102,24,30,13950.0
4,2824,5,136,115,18,22,17450.0
5,2507,5,136,110,19,25,15250.0
6,2844,5,136,110,19,25,17710.0
7,2954,5,136,110,19,25,18920.0
8,3086,5,131,140,17,20,23875.0
9,3053,5,131,160,16,22,17859.167
10,2395,4,108,101,23,29,16430.0
11,2395,4,108,101,23,29,16925.0
12,2710,6,164,121,21,28,20970.0
13,2765,6,164,121,21,28,21105.0
14,3055,6,164,121,20,25,24565.0
15,3230,6,209,182,16,22,30760.0
16,3380,6,209,182,16,22,41315.0
17,3505,6,209,182,15,20,36880.0
18,1488,3,61,48,47,53,5151.0
19,1874,4,90,70,38,43,6295.0
20,1909,4,90,70,38,43,6575.0
21,1876,4,90,68,37,41,5572.0
22,1876,4,90,68,31,38,6377.0
23,2128,4,98,102,24,30,7957.0
24,1967,4,90,68,31,38,6229.0
25,1989,4,90,68,31,38,6692.0
26,1989,4,90,68,31,38,7609.0
27,2191,4,98,102,24,30,8558.0
28,2535,4,122,88,24,30,8921.0
29,2811,4,156,145,19,24,12964.0
30,1713,4,92,58,49,54,6479.0
31,1819,4,92,76,31,38,6855.0
32,1837,4,79,60,38,42,5399.0
33,1940,4,92,76,30,34,6529.0
34,1956,4,92,76,30,34,7129.0
35,2010,4,92,76,30,34,7295.0
36,2024,4,92,76,30,34,7295.0
37,2236,4,110,86,27,33,7895.0
38,2289,4,110,86,27,33,9095.0
39,2304,4,110,86,27,33,8845.0
40,2372,4,110,86,27,33,10295.0
41,2465,4,110,101,24,28,12945.0
42,2293,4,110,100,25,31,10345.0
43,2337,4,111,78,24,29,6785.0
44,1874,4,90,70,38,43,8916.5
45,1909,4,90,70,38,43,8916.5
46,2734,4,119,90,24,29,11048.0
47,4066,6,258,176,15,19,32250.0
48,4066,6,258,176,15,19,35550.0
49,3950,12,326,262,13,17,36000.0
50,1890,4,91,68,30,31,5195.0
51,1900,4,91,68,31,38,6095.0
52,1905,4,91,68,31,38,6795.0
53,1945,4,91,68,31,38,6695.0
54,1950,4,91,68,31,38,7395.0
55,2380,2,70,101,17,23,10945.0
56,2380,2,70,101,17,23,11845.0
57,2385,2,70,101,17,23,13645.0
58,2500,2,80,135,16,23,15645.0
59,2385,4,122,84,26,32,8845.0
60,2410,4,122,84,26,32,8495.0
61,2385,4,122,84,26,32,10595.0
62,2410,4,122,84,26,32,10245.0
63,2443,4,122,64,36,42,10795.0
64,2425,4,122,84,26,32,11245.0
65,2670,4,140,120,19,27,18280.0
66,2700,4,134,72,31,39,18344.0
67,3515,5,183,123,22,25,25552.0
68,3750,5,183,123,22,25,28248.0
69,3495,5,183,123,22,25,28176.0
70,3770,5,183,123,22,25,31600.0
71,3740,8,234,155,16,18,34184.0
72,3685,8,234,155,16,18,35056.0
73,3900,8,308,184,14,16,40960.0
74,3715,8,304,184,14,16,45400.0
75,2910,4,140,175,19,24,16503.0
76,1918,4,92,68,37,41,5389.0
77,1944,4,92,68,31,38,6189.0
78,2004,4,92,68,31,38,6669.0
79,2145,4,98,102,24,30,7689.0
80,2370,4,110,116,23,30,9959.0
81,2328,4,122,88,25,32,8499.0
82,2833,4,156,145,19,24,12629.0
83,2921,4,156,145,19,24,14869.0
84,2926,4,156,145,19,24,14489.0
85,2365,4,122,88,25,32,6989.0
86,2405,4,122,88,25,32,8189.0
87,2403,4,110,116,23,30,9279.0
88,2403,4,110,116,23,30,9279.0
89,1889,4,97,69,31,37,5499.0
90,2017,4,103,55,45,50,7099.0
91,1918,4,97,69,31,37,6649.0
92,1938,4,97,69,31,37,6849.0
93,2024,4,97,69,31,37,7349.0
94,1951,4,97,69,31,37,7299.0
95,2028,4,97,69,31,37,7799.0
96,1971,4,97,69,31,37,7499.0
97,2037,4,97,69,31,37,7999.0
98,2008,4,97,69,31,37,8249.0
99,2324,4,120,97,27,34,8949.0
100,2302,4,120,97,27,34,9549.0
101,3095,6,181,152,17,22,13499.0
102,3296,6,181,152,17,22,14399.0
103,3060,6,181,152,19,25,13499.0
104,3071,6,181,160,19,25,17199.0
105,3139,6,181,200,17,23,19699.0
106,3139,6,181,160,19,25,18399.0
107,3020,4,120,97,19,24,11900.0
108,3197,4,152,95,28,33,13200.0
109,3230,4,120,97,19,24,12440.0
110,3430,4,152,95,25,25,13860.0
111,3075,4,120,95,19,24,15580.0
112,3252,4,152,95,28,33,16900.0
113,3285,4,120,95,19,24,16695.0
114,3485,4,152,95,25,25,17075.0
115,3075,4,120,97,19,24,16630.0
116,3252,4,152,95,28,33,17950.0
117,3130,4,134,142,18,24,18150.0
118,1918,4,90,68,37,41,5572.0
119,2128,4,98,102,24,30,7957.0
120,1967,4,90,68,31,38,6229.0
121,1989,4,90,68,31,38,6692.0
122,2191,4,98,68,31,38,7609.0
123,2535,4,122,88,24,30,8921.0
124,2818,4,156,145,19,24,12764.0
125,2778,4,151,143,19,27,22018.0
126,2756,6,194,207,17,25,32528.0
127,2756,6,194,207,17,25,34028.0
128,2800,6,194,207,17,25,37028.0
129,3366,8,203,288,17,28,31400.5
130,2579,4,132,90,23,31,9295.0
131,2460,4,132,90,23,31,9895.0
132,2658,4,121,110,21,28,11850.0
133,2695,4,121,110,21,28,12170.0
134,2707,4,121,110,21,28,15040.0
135,2758,4,121,110,21,28,15510.0
136,2808,4,121,160,19,26,18150.0
137,2847,4,121,160,19,26,18620.0
138,2050,4,97,69,31,36,5118.0
139,2120,4,108,73,26,31,7053.0
140,2240,4,108,73,26,31,7603.0
141,2145,4,108,82,32,37,7126.0
142,2190,4,108,82,28,33,7775.0
143,2340,4,108,94,26,32,9960.0
144,2385,4,108,82,24,25,9233.0
145,2510,4,108,111,24,29,11259.0
146,2290,4,108,82,28,32,7463.0
147,2455,4,108,94,25,31,10198.0
148,2420,4,108,82,23,29,8013.0
149,2650,4,108,111,23,23,11694.0
150,1985,4,92,62,35,39,5348.0
151,2040,4,92,62,31,38,6338.0
152,2015,4,92,62,31,38,6488.0
153,2280,4,92,62,31,37,6918.0
154,2290,4,92,62,27,32,7898.0
155,3110,4,92,62,27,32,8778.0
156,2081,4,98,70,30,37,6938.0
157,2109,4,98,70,30,37,7198.0
158,2275,4,110,56,34,36,7898.0
159,2275,4,110,56,38,47,7788.0
160,2094,4,98,70,38,47,7738.0
161,2122,4,98,70,28,34,8358.0
162,2140,4,98,70,28,34,9258.0
163,2169,4,98,70,29,34,8058.0
164,2204,4,98,70,29,34,8238.0
165,2265,4,98,112,26,29,9298.0
166,2300,4,98,112,26,29,9538.0
167,2540,4,146,116,24,30,8449.0
168,2536,4,146,116,24,30,9639.0
169,2551,4,146,116,24,30,9989.0
170,2679,4,146,116,24,30,11199.0
171,2714,4,146,116,24,30,11549.0
172,2975,4,146,116,24,30,17669.0
173,2326,4,122,92,29,34,8948.0
174,2480,4,110,73,30,33,10698.0
175,2414,4,122,92,27,32,9988.0
176,2414,4,122,92,27,32,10898.0
177,2458,4,122,92,27,32,11248.0
178,2976,6,171,161,20,24,16558.0
179,3016,6,171,161,19,24,15998.0
180,3131,6,171,156,20,24,15690.0
181,3151,6,161,156,19,24,15750.0
182,2261,4,97,52,37,46,7775.0
183,2209,4,109,85,27,34,7975.0
184,2264,4,97,52,37,46,7995.0
185,2212,4,109,85,27,34,8195.0
186,2275,4,109,85,27,34,8495.0
187,2319,4,97,68,37,42,9495.0
188,2300,4,109,100,26,32,9995.0
189,2254,4,109,90,24,29,11595.0
190,2221,4,109,90,24,29,9980.0
191,2661,5,136,110,19,24,13295.0
192,2579,4,97,68,33,38,13845.0
193,2563,4,109,88,25,31,12290.0
194,2912,4,141,114,23,28,12940.0
195,3034,4,141,114,23,28,13415.0
196,2935,4,141,114,24,28,15985.0
197,3042,4,141,114,24,28,16515.0
198,3045,4,130,162,17,22,18420.0
199,3157,4,130,162,17,22,18950.0
200,2952,4,141,114,23,28,16845.0
201,3049,4,141,160,19,25,19045.0
202,3012,6,173,134,18,23,21485.0
203,3217,6,145,106,26,27,22470.0
204,3062,4,141,114,19,25,22625.0
